Item-name	Item-Description	category1	price	sku	image-url	Shipping-fee	quantity	
"Ethnic necklace with large metal pieces and various stones, 30"""	"Ethnic necklace with large metal pieces and various stones, 30""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$8.00 	33.0	http://www.semiprecious.com/images/necklaces/mixed.jpg	$2.50 	9	
"Carnelian necklace with ethnic metal pieces, 17"""	"Carnelian necklace with ethnic metal pieces, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$8.00 	35.0	http://www.semiprecious.com/images/necklaces/carn43old.jpg	$1.50 	6	
"Peridot necklace, round stones, 24"""	"Peridot  necklace, round stones, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$16.00 	37.0	http://www.semiprecious.com/images/necklaces/peridot.jpg	$2.00 	2	
"Malachite (simulated) necklace, button shaped, 16"""	"Malachite (simulated) necklace, button shaped, 16""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$8.00 	40.0	http://www.semiprecious.com/images/necklaces/mal49.jpg	$1.50 	4	
"Malachite necklace, cylindrical, with golden rings, 24"""	"Malachite necklace, cylindrical, with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$18.00 	43.0	http://www.semiprecious.com/images/necklaces/malring.jpg	$2.50 	4	
"Aventurine (Indian jade) necklace with golden rings and ethnic spheres, 17"""	"Aventurine (Indian jade) necklace with golden rings and ethnic spheres, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296362	$14.00 	45.0	http://www.semiprecious.com/images/necklaces/jadeeth.jpg	$2.50 	4	
"Garnet necklace, round stones, 16"""	"Garnet necklace, round stones, 16""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a> International shipping: $3.50"	296352	$8.00 	48.0	http://www.semiprecious.com/images/necklaces/garnrd.jpg	$1.50 	12	
"Citrine-topaz necklace, 17"""	"Citrine-topaz necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296349	$13.00 	49.0	http://www.semiprecious.com/images/necklaces/topaz.jpg	$1.50 	10	
Carnelian and bone bracelet	"Carnelian and bone bracelet, 20 cm  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296305	$6.00 	50.0	http://www.semiprecious.com/images/bracelets/brbncar.jpg	$1.50 	8	
"Tiger eye necklace, square beads, 18"""	"Tiger eye necklace, square beads, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$25.00 	52.0	http://www.semiprecious.com/images/necklaces/tigersqr.jpg	$2.50 	2	
Multi-stone and bone bracelet (elephant engraving)	"Multi-stone and bone bracelet, elephant engraved, 20 cm  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296305	$6.00 	53.0	http://www.semiprecious.com/images/bracelets/brstbnel.jpg	$1.00 	15	
Multi-stone and bone bracelet (flower engraving)	"Multi-stone and bone bracelet, flower engraving, 20 cm  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296305	$6.00 	54.0	http://www.semiprecious.com/images/bracelets/brstbn01.jpg	$1.50 	20	
"Tiger eye necklace with golden rings, octagonal cut, 24"""	"Tiger eye necklace with golden rings, octagonal cut, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	160.0	http://www.semiprecious.com/images/necklaces/160.jpg	$2.50 	10	
"Garnet necklace, square beads, 17"""	"Garnet necklace, square beads, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296352	$23.00 	161.0	http://www.semiprecious.com/images/necklaces/161.jpg	$2.50 	10	
"Tiger eye necklace, carved flower design, 24"""	"Tiger eye necklace, carved flower design, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$18.00 	162.0	http://www.semiprecious.com/images/necklaces/162.jpg	$2.50 	10	
"Lapis necklace with golden rings, 24"""	"Lapis necklace with golden rings, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$25.00 	163.0	http://www.semiprecious.com/images/necklaces/163.jpg	$2.50 	10	
